id,comment,like,timestamp
w.w.w._.0721,結果她傳她家人過世的影片,327 ,2022-04-17T11:21:00.000Z
heetao_0926,結果那個影片是讓人感動的影片,130 ,2022-04-17T11:23:47.000Z
sk_zhao_yu,@tingyi_153 @chinnn._.wu,2 ,2022-04-17T11:19:15.000Z
_orange_c.t.j,@zxc_1105 @sian._ktt,0,2022-04-17T11:28:27.000Z
boomshakalaka_2,@nomoneynotalktome @tm_dilireba,0,2022-04-17T11:33:06.000Z
jm319025,@gogo_liu_ @yu_lun_t,2 ,2022-04-17T11:29:53.000Z
cola119025,@yuannn_627 @punn_b 笑死,2 ,2022-04-17T11:16:38.000Z
0702_miranda_,@sanfeng__ @juuuuuo 笑死,2 ,2022-04-17T11:16:39.000Z
zhongda.xie,@kaihan.chen @chijung_1113 笑死,0,2022-04-17T11:19:35.000Z
zong_wayne,@wenjhe_0429,0,2022-04-17T11:30:06.000Z
lmx39_,@yjc_lb486,0,2022-04-17T11:23:26.000Z
___lucychen,@ytzzz__,0,2022-04-17T11:22:49.000Z
yrrehs28,@mei_419,2 ,2022-04-17T11:18:16.000Z
gonchild,@linszupinn_,2 ,2022-04-17T11:16:57.000Z
guanlin_0715,@tony93520 QQ,0,2022-04-17T11:25:16.000Z
_vivichiu,@zarazara_____ ??,2 ,2022-04-17T11:24:13.000Z
nirrqu_,@trashtalker_0114,1 ,2022-04-17T11:16:32.000Z
goodnight_sow_0325,@owoy.06,1 ,2022-04-17T11:16:25.000Z
meg.huangg,@pyl_2218_ 😍,0,2022-04-17T11:19:50.000Z
zr_j.b.y,@vanness0309 😏,0,2022-04-17T11:36:42.000Z
