id,comment,like,timestamp
evdream_,1st photo, what’s address?,1 ,2022-03-16T14:39:17.000Z
gregorywborth,Was Once Constantinople.,2 ,2022-03-16T15:56:49.000Z
juroga23,😍🙌,0,2022-03-16T14:46:14.000Z
trutravels,Beautiful shots 😍😍😍,0,2022-03-16T14:43:04.000Z
__iamnoor_,Çok güzel💓😍,0,2022-03-17T13:41:39.000Z
dmll.y_,İstanbul ❤️,0,2022-03-16T15:59:32.000Z
pruthvi_punjabi,Over-saturated! It takes away the magic from beauty of location, composition, framing.,0,2022-03-17T03:22:36.000Z
artxcamera,Paradise 🇹🇷,1 ,2022-03-16T15:40:55.000Z
julesjbb,😍,1 ,2022-03-16T14:32:10.000Z
merkaadiz,❤️❤️❤️ Love you ISTANBUL 💋,0,2022-03-16T14:38:37.000Z
carlene04,So pretty ❤️,0,2022-03-16T17:17:02.000Z
nikkkunj01,Awesome 👍,0,2022-03-17T18:23:26.000Z
daliahissan,@saskial.k,0,2022-03-17T15:17:22.000Z
heygabycisco,@heyguillerminacisco @eugeliet  re pesada pero 😮😍,1 ,2022-03-17T02:40:49.000Z
danipedrozatt,@guiplbarros nunca tinha visto fotos do inverno lá 😍,0,2022-03-17T00:45:47.000Z
nannybag.travel,So beautiful!! @mstfatyfn,1 ,2022-03-16T15:34:30.000Z
theou_dimitra,@andreikouelena Που είπες για Κωνσταντινούπολη ❤️❤️❤️,1 ,2022-03-16T19:44:47.000Z
sky.lord29,@gzamarron63,1 ,2022-03-17T05:46:57.000Z
jannbacilio,@md.dgt,1 ,2022-03-16T21:18:15.000Z
jimevargasm,@alepatob ❤️❤️❤️❤️❤️❤️❤️,0,2022-03-16T14:41:40.000Z
adinalemke,@zeo.sabrina ☂️🤺🤺🤺,1 ,2022-03-16T14:36:17.000Z
miogwapa,@pily_melo_,0,2022-03-16T14:53:00.000Z
dimitraagkioka,@thodoris_karatsolis τι σου θυμίζειιι🥺🥰,1 ,2022-03-16T16:10:47.000Z
haqqulil,menarik... @_kurnia_di,1 ,2022-03-16T14:35:19.000Z
around_with_elly,@roberto.brusoni,1 ,2022-03-16T14:59:43.000Z
sarahammirato,@bert.blading you wanna go?,0,2022-03-16T18:31:48.000Z
dianapeniche,@andrescontrerasv vamos,0,2022-03-16T20:58:55.000Z
cherrlisa,@cihan.altunn,1 ,2022-03-16T16:45:46.000Z
martafeio,@sissiii18 @carolinamartins23 vamos?,0,2022-03-16T14:42:23.000Z
soygeorel,@phebotzkie Hambali lg ko ah hehe,0,2022-03-16T15:00:31.000Z
eqimoreira,@wallacefreitas25  só acho que como não me levou para tirar foto nos guarda-chuva de CdJ, deveria me levar para a Turquia para tirar foto nesses daí... Hahahaha,0,2022-03-16T14:38:24.000Z
mauspaki,@ileanabelena,0,2022-03-16T15:22:12.000Z
amrica277,😍😍😍😍😍,0,2022-03-16T18:05:11.000Z
___ismo__,❤️❤️,0,2022-03-16T16:50:15.000Z
lucre_rank,Çok güzel❤️,0,2022-03-16T20:27:13.000Z
chi.chinguyen17,@gokceicmez 😍,0,2022-03-16T15:31:00.000Z
se_vie,@eirini.kotorou 🔥,1 ,2022-03-16T14:45:46.000Z
romanrokotov90,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0,2022-03-16T16:51:43.000Z
a2rajiulislam,Beauuuuutiful click 👌👌👌✅,2 ,2022-03-16T14:37:28.000Z
cubascondori,Very beautiful 👏👏👏👏👏👏👏👏😍😍😍😍😍😍😍,0,2022-03-16T15:13:20.000Z
waltio,Are this old photos? Or is like that right now ?,0,2022-03-16T16:41:50.000Z
asya_t_yusuf,@ahlammayous 😢❤️,0,2022-03-17T13:01:46.000Z
balionvacationinfo,Wonderful place ❤️❤️,0,2022-03-17T03:33:00.000Z
eddieismyway,W😍W,0,2022-03-16T14:46:10.000Z
_inxsha_,Is this fr ffffff💓💓💓💓,0,2022-03-16T16:58:31.000Z
a2rajiulislam,😍😍🔥🔥🔥,2 ,2022-03-16T14:37:22.000Z
ftbeejay,@ms.niguiris,0,2022-03-17T17:28:43.000Z
anjainwanderland,😍😍,0,2022-03-16T16:34:18.000Z
roadswefollow,❤️❤️❤️,0,2022-03-16T16:38:08.000Z
amusico.b_live,Mesmerizing 💙,0,2022-03-16T16:11:58.000Z
stacygi,So beautiful 😍👏❤️,0,2022-03-16T15:00:04.000Z
emilie3838,Très coloré 😍😍,0,2022-03-16T16:30:34.000Z
sehnazzyildizz,My lowe ıstanbul😍,0,2022-03-16T15:39:44.000Z
huda7716,😍😍😍😍😍,0,2022-03-17T00:52:15.000Z
johanneellehammer,@rabiayorganci_ Glæder mig til vi en dag skal afsted😍,1 ,2022-03-16T20:28:30.000Z
charmofjordan,Beautiful 😍😍😍,1 ,2022-03-16T15:07:36.000Z
klug_gen,🔥,0,2022-03-16T18:08:26.000Z
negin__f,@frischknechtzand 😍,0,2022-03-16T18:13:06.000Z
nathaliedevaux,@jennvw_,1 ,2022-03-16T20:02:54.000Z
dayanebl,@cicero_ronan,0,2022-03-16T21:39:59.000Z
alexandreleclair,😍😍,1 ,2022-03-16T19:46:57.000Z
sehkeet,Ben cok gitmek isteyorum 🥺,1 ,2022-03-16T14:36:09.000Z
paumanass,@gabe.ct,1 ,2022-03-16T14:39:18.000Z
living_destinations,Really fantastic,2 ,2022-03-16T14:40:33.000Z
heeeeeeeee1998,@rafselia,0,2022-03-17T06:14:14.000Z
anna_dipietro01,need to see this😍😍,0,2022-03-17T16:01:40.000Z
_jessicabeckert_,@erik.fyr,2 ,2022-03-16T14:34:10.000Z
julietaeinaudi,@jessy_salcido,0,2022-03-16T18:58:05.000Z
avtandil.dolidze,@javakhishvili.l,1 ,2022-03-16T15:31:53.000Z
okand.tjej,@crilleees 😍😍,0,2022-03-16T18:12:26.000Z
mazzy590,$÷@4),1 ,2022-03-16T22:13:10.000Z
chloefromhk,@tungyiii  喂  咁既咩,1 ,2022-03-16T16:46:22.000Z
khaled.abroad,Wonderful 👌,0,2022-03-16T17:19:04.000Z
tbangar77,❤️❤️❤️,0,2022-03-17T06:15:54.000Z
erika0renaee,@colormecourtney Thought of you!,0,2022-03-17T04:51:04.000Z
fe8ica,😍😍someone pls take me there,0,2022-03-17T00:57:04.000Z
abirshaikh,@shafii91,0,2022-03-17T15:37:40.000Z
galatasaraysevdam09,🔥❤️ beautiful İSTANBUL 🇹🇷#TÜRKİYE,0,2022-03-16T18:50:08.000Z
shahdot,@jeet19,0,2022-03-16T21:02:19.000Z
shahdot,@jeet19,0,2022-03-16T21:03:08.000Z
costin1910,sa-mi sugi pula fa că nu vrei sa ne futem,0,2022-03-17T12:45:34.000Z
lanietzkorn,I had no idea Turkey had these colourful buildings..what?!,0,2022-03-16T17:40:09.000Z
robert_regina59,@sarahammirato 👀👀👀👀,0,2022-03-16T15:41:24.000Z
anjly_20,🤍,0,2022-03-16T14:55:16.000Z
realumutozcan,@b_r_u_u_n_o @dasbittencourt look at this,0,2022-03-16T14:40:35.000Z
goranbabic1,@sandraule9 kaj praviš?,2 ,2022-03-16T15:57:54.000Z
kidrollin17,❤️,0,2022-03-16T20:55:03.000Z
enz0_bylo_zajete_,I had no idea Turkey has snow,0,2022-03-17T09:06:03.000Z
aldibuttermilchsued,@hc_chucky 😍,0,2022-03-16T20:53:20.000Z
m.meher2018,One day InshaALLAH,0,2022-03-17T15:55:30.000Z
milkcoffeeaholic,@tammy____,2 ,2022-03-17T13:23:03.000Z
m.ou.ha.me.d,Amazing 😊👍✨😍✨,0,2022-03-17T00:46:26.000Z
a_hosseini1991,Shame of turkey for be like israel👎,0,2022-03-17T00:03:32.000Z
aamir.cma,@momin.siddiqui @sufiyan_gohil @syedhasanraza414,1 ,2022-03-17T10:16:42.000Z
tripmento,📍🗺🙋🏻‍♂️ @ezequielmce,0,2022-03-16T18:02:30.000Z
m.ou.ha.me.d,🤩😍,0,2022-03-17T00:46:04.000Z
iluvmichel_k964,I'm overwhelmed to testify that this company paid me over $10,000 for investment of $1,000..... I didn't believe it until I had my withdrawals  @rose_wright_fx,0,2022-03-16T14:32:38.000Z
johnwater218,I invested $1000  and got a return of $10,000 in 48hours...His transparency and accountability has always been the best  @louisa_pascal1,0,2022-03-16T14:32:28.000Z
emily_brown014,I’m 🅿️aying $5,250 to the first (10) 🅿️eople to hit me up now with “ALIVE” God Bless y’all🥂🇺🇸🇨🇦,0,2022-03-16T14:42:41.000Z
nicesean2,I’m not doing this because of what I’m going to get in return because that’s what you all think but I’m doing it to let you all know that he’s 100% safe to trade with @louisa_pasca1,0,2022-03-16T14:32:51.000Z
