id,comment,like,timestamp
utary_isty,👏🇲🇨 #indonesia,1 ,2022-04-23T14:57:40.000Z
rst108,Ribut klean. This is Planet 0259-S where Thanos retired and get killed by the Avengers. #gakributgakindonesia,11 ,2022-04-24T01:03:32.000Z
_jahan.nama_,💯💯💯💯💯💯💯💯💯💯💯💯👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,2 ,2022-04-23T13:20:19.000Z
zolazzahra,This is Bali Indonesia 💚,4 ,2022-04-23T19:59:05.000Z
rannkirr,This is in Yogyakarta and around, come and visit 🤩 🇲🇨,2 ,2022-04-23T21:17:07.000Z
syaefulrizal,Bali, Indonesia ❤️,1 ,2022-04-23T13:58:39.000Z
mohammadmassri,💚💚💚,0,2022-04-24T00:13:55.000Z
persian_travelguide,Visit 📍 Iran 🇮🇷📍 with us 😍👏👏👏,0,2022-04-23T14:19:11.000Z
noveefaith,Jogjaaaaa,3 ,2022-04-24T03:59:09.000Z
artxcamera,Wow 😍,2 ,2022-04-23T13:20:51.000Z
suryapratap25,Beautiful shots 😍😍,1 ,2022-04-23T13:34:33.000Z
ini.anjar,Hope to see you soon, Indonesia! 2 years is indeed too long!,2 ,2022-04-23T13:11:12.000Z
diegoguanabens,Love these photos as well as the landscape. Green as far as the eyes can see! Soo relaxing! ❤️,0,2022-04-23T18:29:50.000Z
nico.shoot,Looks so good! 🔥👏,2 ,2022-04-23T13:34:12.000Z
maellekervran,Oh yes 🙌,3 ,2022-04-23T14:15:13.000Z
edward.saurus,WUHUUU,2 ,2022-04-23T16:18:54.000Z
bernyldn,Beautiful 🙌😍,2 ,2022-04-23T14:58:32.000Z
brucky_95,First pic looks like Minecraft with real life graphics,5 ,2022-04-23T13:40:37.000Z
ricardogiraldob,@jmgiraldoo @rafaelgiraldob @margaritaboteror,1 ,2022-04-24T09:33:23.000Z
ftbeejay,@ms.niguiris,0,2022-04-24T12:15:13.000Z
melldavid,@melianieeeee,0,2022-04-23T17:06:14.000Z
lacsapilahk26,@wisatadiyogyakarta,0,2022-04-24T13:26:47.000Z
maimi98,@albaarderiu,0,2022-04-23T13:26:28.000Z
hi34_43ba,@akram_6053,1 ,2022-04-23T20:31:51.000Z
aaadenizakgun,@grantleecrilly,0,2022-04-23T16:25:15.000Z
ismailhassans,Kaliurang 🤣 @nata_doank,0,2022-04-23T18:19:02.000Z
valeriedelwel,@milouhusken,1 ,2022-04-23T17:14:11.000Z
aleksandraam99,@ding3557 let's go?,0,2022-04-23T15:56:30.000Z
nicolevcuijk,@omar.soliman.91 😍😍,0,2022-04-23T15:05:13.000Z
stefannus_lee,@nataulimargareta,0,2022-04-24T00:22:54.000Z
rahmarinibu,Barakallah Sabang hingga Merauke,Bhineka Tunggal Ika,3 ,2022-04-23T13:51:23.000Z
heyyudhabye,Beautiful 😍❤️,2 ,2022-04-23T13:13:29.000Z
rechiim,😍😍😍😍,0,2022-04-23T18:12:42.000Z
petrus_bayu_sw,My country 😀❤️👑🇮🇩,1 ,2022-04-23T13:18:44.000Z
rinaldi.suhardiono,Incredible 😍,2 ,2022-04-23T14:05:01.000Z
ammarroov.designer,We have designs to suit all tastes, welcome to our special store❤️🔥,1 ,2022-04-23T21:26:54.000Z
kamana_ih,Indonesia❤️,2 ,2022-04-23T15:19:16.000Z
m_dmorais,Sanhok, pubg,0,2022-04-23T13:05:06.000Z
rosichululum,wohoo,1 ,2022-04-23T15:42:52.000Z
putia.aditia,My country ❤️❤️,1 ,2022-04-23T14:50:44.000Z
podungmy,INDONESIA-KU TERCINTA 🇮🇩 // MY BELOVED INDONESIA 🇮🇩,0,2022-04-23T13:26:45.000Z
hellouniek,Fotonya bagus 😍,0,2022-04-23T14:25:05.000Z
mariobabtista,My country 🤙,1 ,2022-04-23T14:05:25.000Z
wonderful_earth__,Awesome ❤,1 ,2022-04-23T16:56:10.000Z
nuckelodeon,my beautiful country,0,2022-04-23T18:53:10.000Z
nadrangkuti,Mantuuuuullllll🔥,0,2022-04-23T17:48:54.000Z
___ismo__,❤️❤️❤️,0,2022-04-23T16:42:33.000Z
ayumustika30,Waah my country 🥰,0,2022-04-23T14:11:16.000Z
jonibnm,Mount Merapi 🔥,0,2022-04-23T16:13:56.000Z
mila_krist,Sudah kuduga 🇲🇨,0,2022-04-24T14:30:33.000Z
shayan.alipoorr,😍😍😍,0,2022-04-24T16:11:25.000Z
prizkinanda,So proud❤,0,2022-04-23T15:19:32.000Z
naviphotography_,Amazing😍,0,2022-04-23T17:10:03.000Z
tianlang23,favorite color,0,2022-04-23T14:16:57.000Z
jayakusuma.wardana,Panaromanya seperti di Daerah Istimewa Yogyakarta,0,2022-04-23T16:55:07.000Z
miguelv100,+62 assemble,0,2022-04-24T03:21:56.000Z
leo_raes,Love this,0,2022-04-23T23:14:22.000Z
annisazuy_,Best🔥,0,2022-04-23T21:22:47.000Z
poetre44,Merapi??,0,2022-04-24T04:49:51.000Z
sebastians_fotoalbum,😍😍😍,0,2022-04-23T15:17:28.000Z
dennidp,Noice*,0,2022-04-23T15:01:16.000Z
living_destinations,Woow,0,2022-04-23T17:32:32.000Z
emeprada,Wow,0,2022-04-23T13:22:36.000Z
cikgu.ji56845,😍😍😍❤️❤️❤️,0,2022-04-23T13:09:17.000Z
alamauladana17,Kaliadem,0,2022-04-23T17:29:51.000Z
pejuang_rupiah_sejak_dulu_kala,🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,0,2022-04-23T15:59:21.000Z
kamal.nadine06,🇮🇩🇮🇩🇮🇩🇮🇩,0,2022-04-24T07:41:02.000Z
natalia.khon.jewelry,😍😍😍,0,2022-04-23T14:15:53.000Z
xenoknight_22,🤩,0,2022-04-23T14:56:11.000Z
verdianrezky,❤️❤️❤️🙌🙌,0,2022-04-23T20:48:18.000Z
mialusiana16,❤️❤️❤️❤️,0,2022-04-23T18:17:35.000Z
aminaveila,🔥🔥🔥🔥,0,2022-04-24T08:33:22.000Z
olakilan,😍😍,0,2022-04-23T23:12:28.000Z
raa2kf,😍😍,0,2022-04-23T15:43:44.000Z
xm.357,❤️,0,2022-04-24T02:00:52.000Z
heninuraenah,❤️❤️❤️,0,2022-04-23T21:49:47.000Z
nahrulucon_,💚💚💚,0,2022-04-23T20:59:20.000Z
salnc__,❤‍🇮🇩,0,2022-04-24T05:49:17.000Z
ournextflight,😍,0,2022-04-24T16:02:27.000Z
whatexactlyhappen,😍,0,2022-04-23T21:42:10.000Z
jerkoproductions,😍😍,0,2022-04-24T07:21:33.000Z
patrondefille,❤️,0,2022-04-23T14:48:33.000Z
passingwonders,😍,0,2022-04-23T13:46:28.000Z
_challoh,💚,0,2022-04-23T13:12:13.000Z
sugadewantha,💚,0,2022-04-23T19:43:57.000Z
marionpappy,😂,0,2022-04-23T15:29:58.000Z
sparkleaster,❤️,0,2022-04-23T19:28:56.000Z
sparkleaster,❤️,0,2022-04-23T19:28:55.000Z
sparkleaster,❤️,0,2022-04-23T19:28:54.000Z
powerpaffgurl,❤️🔥,0,2022-04-23T22:18:37.000Z
janiyahgroff80,I'll do anything you say.🌺😛,3 ,2022-04-23T13:02:10.000Z
annabellakehres96,I'll be your baby tonight🌶🌭,0,2022-04-23T13:02:13.000Z
nina_browniam,As a busy person investing and getting returns was i ever wanted so I could still retain my job.  Although I never believe first but after my profit withdrawal of $20,758 I don’t need anymore evidence @renaldtheprofessional,0,2022-04-23T21:58:08.000Z
antoni_indratama,Indonesia diposting ges,0,2022-04-24T04:40:27.000Z
arlettekleiboeker82,I love you to dead faint❤🌭,1 ,2022-04-23T13:02:13.000Z
grantinxf,To anyone reading this, if you’re struggling and feeling down due to financial issues I’ll advise you send me a DM right now.,0,2022-04-23T17:52:34.000Z
grantinxf,To anyone reading this, if you’re struggling and feeling down due to financial issues I’ll advise you send me a DM right now.,0,2022-04-23T23:33:16.000Z
esperanzamccleveland77,Are there any real men left?🧡🌺,4 ,2022-04-23T13:02:10.000Z
leviri2249,𝕀’𝕞 𝕤𝕠 𝕘𝕝𝕒𝕕 𝕀 𝕥𝕠𝕠𝕜 𝕒𝕕𝕧𝕒𝕟𝕥𝕒𝕘𝕖 𝕠𝕗 𝕥𝕙𝕚𝕤 𝕠𝕡𝕡𝕠𝕣𝕥𝕦𝕟𝕚𝕥𝕪 𝕥𝕠 𝕚𝕟𝕧𝕖𝕤𝕥 𝕚𝕟 𝕓𝕚𝕥𝕔𝕠𝕚𝕟 𝕠𝕗𝕗𝕖𝕣𝕖𝕕 𝕥𝕠 𝕞𝕖 𝕓𝕪 @profitcrypto_with_fxlucas 𝕒𝕟𝕕 𝕟𝕠𝕨 𝕀’𝕞 𝕖𝕒𝕣𝕟𝕚𝕟𝕘 𝕞𝕒𝕤𝕤𝕚𝕧𝕖𝕝𝕪 𝕨𝕚𝕥𝕙𝕠𝕦𝕥 𝕣𝕖𝕘𝕣𝕖𝕥𝕤,0,2022-04-24T04:44:41.000Z
successful__michael__paid,𝟱,𝟬𝟬𝟬 𝗨𝗦𝗦𝗗 𝗳𝗼𝗿 𝘁𝗵𝗲 𝗳𝗶𝗿𝘀𝘁 𝟱 𝗽𝗲𝗼𝗽𝗹𝗲 𝘁𝗼 𝗗𝗠 𝗺𝗲 “𝗦𝗧𝗥𝗨𝗚𝗚𝗟𝗜𝗡𝗚“ 🇺🇸 🇨🇦 💵,0,2022-04-23T13:05:25.000Z
