id,comment,like,timestamp
delaquadra,My square,2 ,2022-03-28T02:19:56.000Z
juliana_gradski,Amazing 💜💜💜,1 ,2022-03-28T01:40:09.000Z
marcia.beltrame,Amei esse pais,1 ,2022-03-28T01:44:43.000Z
aronsibara,grand place 🤍,2 ,2022-03-28T02:04:49.000Z
kosnio,Thank you very much ❤️,0,2022-03-28T07:31:11.000Z
jusanders23,Beautiful 😍,0,2022-03-28T06:34:35.000Z
tanyagodunova.fanz,❤️❤️,0,2022-03-28T13:49:32.000Z
michelefranken,😍,0,2022-03-28T02:01:10.000Z
fanymie,Yes they are! Especially for the night 😍,1 ,2022-03-28T02:00:41.000Z
cikgu.ji56845,😍🔥🔥🔥,1 ,2022-03-28T03:42:04.000Z
adamm_farkas,Már ideje lenne megállítani✋,0,2022-03-28T18:46:15.000Z
m.h.el_k,😍😍,0,2022-03-28T05:14:07.000Z
olimpia.rossetti,💛,0,2022-03-28T01:53:50.000Z
khaled.abroad,😍🔥📸,0,2022-03-28T05:47:13.000Z
jacobaga1001,Wow this is amazing,0,2022-03-28T14:12:56.000Z
nasreen__s,Wonderful 👏,1 ,2022-03-28T09:44:31.000Z
shazfyka,This is your type of fav place @yayajavierr 😂,0,2022-04-02T02:43:49.000Z
como.luna,@alexischd can’t wait to go there with you💕,1 ,2022-03-29T11:17:47.000Z
jadethevis,@amber.soprano @madelonthevis 💕,2 ,2022-03-28T08:16:55.000Z
nicolas9910,@lauraclavijo12,0,2022-03-28T03:43:22.000Z
anicarrilloe,@carlos_diazg1,1 ,2022-03-28T08:44:11.000Z
oetjie,OMG aku kangen tempat ini @sutandd15 (perna kesasar di sini😂),0,2022-03-28T04:34:31.000Z
lacellelogan,@marlen_web babe da sind wir bald ❤️,0,2022-03-28T10:35:39.000Z
highrice,@majalauritsen kan du huske de flotte bygninger? ❤️,1 ,2022-03-28T05:45:10.000Z
tamygonewild,@alpine_punx,0,2022-03-28T07:10:34.000Z
tewlbc,@araya.anna,1 ,2022-03-28T02:15:54.000Z
paoganz,@meemaauu,1 ,2022-03-28T01:52:56.000Z
estefania_3595,@renatoe38088 como cuando piensas que tu amigo ya es fotografo de @voyaged 🤔😲😲,0,2022-03-28T02:41:07.000Z
nofliesonsyd,@amyisacookie98,0,2022-03-28T09:20:53.000Z
dani_is_the_best_1979,@sugedadd,0,2022-03-28T05:08:13.000Z
kraskov4480,Europe please stay European❤️🙌,0,2022-03-28T03:38:33.000Z
rhandaulah,What i see is the hands of Congonese people 😡,0,2022-03-29T12:41:31.000Z
jbreitenberg77,❤️so beautiful,200 ,2022-03-28T01:35:49.000Z
renevfilho,@aptelino.fernandes,0,2022-03-28T02:00:39.000Z
daed.guy,Nwait for russia then soonn 💀💣💥,1 ,2022-03-28T01:58:20.000Z
lrichards800,💕Tag friends who can be up to the sky),183 ,2022-03-28T01:35:34.000Z
demosstasinos,@chris.kitsos_,1 ,2022-03-28T11:22:16.000Z
dr_abebako1,I'm here to share my own view to the Universe about how drabebako helped to bring back my Lovelife with his possessions, my Lovelife neglected and broke up with me for the past 8 months. I can't say much because I really don't know how to express myself right now for I'm over whelmed but I really want to appreciate him for his awesome Work. Thank you so much. Anyone seeing this and want help can get in touch,0,2022-03-28T03:30:20.000Z
grantinxf,To anyone reading this, if you’re struggling and feeling down due to financial issues I’ll advise you send me a DM right now.,0,2022-03-28T06:06:46.000Z
cliffor__jack_sfox,$5000 for the first 20 people to DM “STRUGGLING”🇺🇸🇨🇦,0,2022-03-28T01:35:41.000Z
1978evlukanin,There is no war in Ukraine. Residents of Ukraine are lazy. The government of Ukraine is drug addicts. Ukraine wants to destroy Europe and, first of all, Poland.,0,2022-04-02T21:54:12.000Z
