id,comment,like,timestamp
michaela_karv,Stunning 😍,0,2022-03-31T09:42:38.000Z
sesky_kiddo,Beautiful place ❤️,0,2022-03-31T03:39:52.000Z
uun_virtanen,Been there, so beautiful city😍,0,2022-03-31T12:47:10.000Z
estefaniamialeth,Niceeee😎,44 ,2022-03-31T01:21:39.000Z
julien_audigier,😍😍,0,2022-03-31T07:28:41.000Z
thevictorycoach,Postcard ❤️❤️,0,2022-03-31T06:35:57.000Z
nomadicstefi,Oh wow how beautiful this is! Amazing ❤️,0,2022-03-31T07:15:26.000Z
tanyagodunova.fanz,❤️ ❤️,0,2022-03-31T13:10:02.000Z
bloggerdeyilim,Amazing,0,2022-03-31T06:30:12.000Z
laurindateixeira87_photography,💙💙💙🌼🌼🌼🌼🌼,0,2022-03-31T12:17:25.000Z
eddieismyway,😍😍😍😍,0,2022-03-31T02:23:30.000Z
visit,Wow,0,2022-03-31T19:27:48.000Z
mayepalacios05,😍😍😍🌼,0,2022-03-31T01:42:41.000Z
nchiragtrips,So beautiful 🤩🤩🤩🤩🤩,0,2022-04-01T12:49:47.000Z
capturing_abudhabi,Beautiful,0,2022-03-31T04:36:22.000Z
bernyldn,So pretty 😍,0,2022-03-31T06:01:22.000Z
goatstakeoff,Wow 😍,0,2022-04-01T23:59:26.000Z
kaseymantiply,This is so pretty 😍,0,2022-03-31T04:19:15.000Z
wiwa_b,Beautiful colors😍,0,2022-03-31T03:41:03.000Z
farciara13,😍❤️,0,2022-03-31T09:02:02.000Z
openupthemap,😍😍😍,0,2022-03-31T01:32:13.000Z
rayehe_mohamadian,😍😍😍😍❤️❤️,0,2022-03-31T08:37:40.000Z
alexandreleclair,😍😍😍,0,2022-03-31T01:32:27.000Z
golden_heart,🙏🙏💐😊thank you very much,0,2022-03-31T12:36:38.000Z
zyangamezcua,@eryprospero 🌚✨,1 ,2022-03-31T10:23:59.000Z
caiomachad0,@sous.deh amor do céu, imagina morar aqui!,1 ,2022-03-31T01:58:03.000Z
hdzevy,@mankomal3,1 ,2022-03-31T01:32:23.000Z
mahmacd,@mattviieira,1 ,2022-03-31T01:21:40.000Z
carieztjia,@tyaschrisnawan Kayak kali di samping opm.,0,2022-03-31T05:37:56.000Z
marthagld,@brenda.gtzr,1 ,2022-04-01T03:15:31.000Z
najenifuja,😍😍😍,0,2022-03-31T08:33:11.000Z
formental_health,❤️❤️❤️,0,2022-03-31T13:53:52.000Z
amerikayadairr,😍,0,2022-03-31T02:28:16.000Z
_dani_art_,😍,0,2022-03-31T15:19:18.000Z
celinebottecchia,@paulinehrbdt,1 ,2022-03-31T07:32:20.000Z
nasreen__s,Awesome view,0,2022-04-02T05:01:28.000Z
wonderful_earth__,Fantastic 😍,0,2022-03-31T05:20:26.000Z
iamsamirazh,😍😍😍😍😍😍😍,0,2022-03-31T06:57:42.000Z
dayra5430,Vamos @mar.ram___,0,2022-03-31T04:32:34.000Z
joykristiani,@windunatha,1 ,2022-03-31T02:09:01.000Z
brow_c2k,❤️ Sometimes our relationship go through some tough times but we should try and hold on things became so bad between my husband and I that he had to leave the house I was devastated because we were so ain love if not for a colleague who directed me to a powerful and kind women called @dr.oyemen who helped me and my husband came back begging me to forgive he I would not have learned that powerful person still exist thank you @dr.oyemen thanks😍,0,2022-03-31T01:23:50.000Z
emilia_hvy,I gave listening ears to her mentorship. It hasn't been easy with my investment of $1000 I received $11,400 in return. I don't want huge return I only wanted a trusted trader. I want to use this time to give due appreciation to @get_paid_with_lauren,0,2022-03-31T02:19:25.000Z
