id,comment,like,timestamp
anapaula.znt,😍,0,2022-05-04T13:23:20.000Z
m_a_d_d_y_photography,Amazing😍,0,2022-05-04T13:46:36.000Z
eddieismyway,Just Wow! 🌌🌠🌌,0,2022-05-04T13:42:10.000Z
pramod.aryal,Jaw dropped 🔥,0,2022-05-04T13:19:55.000Z
verified_hooman,This is amazing,0,2022-05-04T13:24:43.000Z
aswin_barmal,Sky always wondering ❤️,0,2022-05-04T13:29:10.000Z
cool.oceans,Gorgeous,0,2022-05-04T13:04:55.000Z
tussovo4ka,doubting the efficiency of my words ? Give it a,1 ,2022-05-04T13:06:26.000Z
shreyaskakadia,Place ?,0,2022-05-04T13:22:23.000Z
mateuspunx,doubting the efficiency of my words ? Give it a,1 ,2022-05-04T13:06:25.000Z
switzerland_focus,I have to page for sale show my story ❤️🔥,0,2022-05-04T13:07:10.000Z
wijdan6_3243,way to Success because the path of Success,0,2022-05-04T13:09:23.000Z
vickyrami20,way to Success because the path of Success,0,2022-05-04T13:07:12.000Z
nataleigh5_0891,For does who are onvet to start up there,0,2022-05-04T13:09:13.000Z
__7___9,You have to Stand Up for,0,2022-05-04T13:06:27.000Z
sulaimanovnurdin,Happiness is achieved when,0,2022-05-04T13:09:17.000Z
chayameraz01,Are there any real men left?🌺🔥,4 ,2022-05-04T13:05:24.000Z
83alyonushka,is very hard and only few can go over it.,0,2022-05-04T13:08:01.000Z
lotericasaojudas2556,doubting the efficiency of my words ? Give it a,0,2022-05-04T13:08:03.000Z
ysimonis23,🍌There are those who want to play pranks?🍿.,136 ,2022-05-04T13:06:23.000Z
nandomps,😍,0,2022-05-04T13:07:08.000Z
andreipetushinin,I can`t explain how you make me feel right now, the joy in me is inexplicable, I have made more than 65,000 US dollars during the last 2 weeks with the help of #CHANDLE_VANESSA_,0,2022-05-04T13:08:23.000Z
timmorn.pz,I’m just here and I promise to show my appreciation to the lady who took me out from zero to hero. I’m glad to be among your winning team. Thanks #CHANDLE_VANESSA_,0,2022-05-04T13:09:15.000Z
oldetownejj,There is no greater joy than having financial freedom and a life free from debts, that`s why I keep posting a comment about him  because he changed my life #CHANDLE_VANESSA_,0,2022-05-04T13:08:17.000Z
serkuher75,You have to Stand Up for,0,2022-05-04T13:06:08.000Z
alberto.rodrigue2022,yourself. I`m happy at last i have found a,0,2022-05-04T13:10:06.000Z
love_guru_advice_735,कामनाओं का शक्तिपीठ मां ज्वाला देवी 51 शक्तिपीठों में से बड़ी शक्तिपीठों है। ज्योतिष की एक राय आपकी जिंदगी बदल सकती हैं। तंत्र मंत्र व अलौकिक शक्तियों की बड़ी से बड़ी समस्या का छुटकारा पा सकते हैं ONE CALL CHANGE YOUR LIFE GUARANTEE RESULT contacts now +91-6375701179 ----------------------------------------(1) love marrige specialist(2) husband wife problem(3) intercast marrige specialist(4)job problem solution(5) child problem solution(6) family problem solution_______________________________सर्वश्रेष्ठ बाबा विशाल शास्त्री जीContact now+91-6375701179,0,2022-05-04T13:03:46.000Z
katyakol1993,There is no greater joy than having financial freedom and a life free from debts, that`s why I keep posting a comment about him  because he changed my life #CHANDLE_VANESSA_,0,2022-05-04T13:05:40.000Z
jedungz,Guyss @alvin_don_shrestha @xd.slbx,1 ,2022-05-04T13:05:28.000Z
ruthslotman,@hikbenthomas,0,2022-05-04T14:02:22.000Z
aleksandrfe02,There is no greater joy than having financial freedom and a life free from debts, that`s why I keep posting a comment about him  because he changed my life #CHANDLE_VANESSA_,0,2022-05-04T13:09:40.000Z
soufiane.lk.1,I can`t explain how you make me feel right now, the joy in me is inexplicable, I have made more than 65,000 US dollars during the last 2 weeks with the help of #CHANDLE_VANESSA_,0,2022-05-04T13:07:54.000Z
alexandregoncalves444,I’m just here and I promise to show my appreciation to the lady who took me out from zero to hero. I’m glad to be among your winning team. Thanks #CHANDLE_VANESSA_,0,2022-05-04T13:09:27.000Z
amirmahdi.lavazemkhanegiazizi,You have to Stand Up for yourself, No one is gonna be with you on the way to Success because the path of Success is very hard and only few can go over it. So always be there for yourself and acheive your Goals and Dreams. #CHANDLE_VANESSA_,0,2022-05-04T13:09:39.000Z
marqueamarcastories,A manager with so much ambition goals towards he’s  clients, You`re magnificent when it comes to #CHANDLE_VANESSA_ tradin£56k profitable,0,2022-05-04T13:06:38.000Z
krekeche,A manager with so much ambition goals towards he’s  clients, You`re magnificent when it comes to #CHANDLE_VANESSA_ tradin£56k profitable,0,2022-05-04T13:08:23.000Z
_.haven_kill__,Should I get my buttocks enlarged?💦💦💦💜💜💦,6 ,2022-05-04T13:05:25.000Z
