id,comment,like,timestamp
idk.isningziiii_04,@qianpoh @444__04,1 ,2022-04-02T05:52:10.000Z
louis81329,@odanhsieh  @dufunilan,1 ,2022-04-02T05:51:12.000Z
mi1es0505,@garrywang0812 ????,3 ,2022-04-02T05:41:34.000Z
0821taco,@lch.0126 @tinghhhh.0103  學廢了嗎👌🏻,3 ,2022-04-02T05:50:35.000Z
gingerxp16,@henry_lin_0603,1 ,2022-04-02T05:52:30.000Z
peiooo_hi,@mball_0321,1 ,2022-04-02T05:42:02.000Z
leah_uj,@yannn_1221,3 ,2022-04-02T06:08:57.000Z
akinosara_,@anniezouuu 我乐死了,0,2022-04-02T05:46:11.000Z
dejavuawei,@smallred1102 🥲,2 ,2022-04-02T05:40:39.000Z
w.dx__,@__han.1__,1 ,2022-04-02T05:36:08.000Z
rabbitsoda917,@gui_xiang_huang,0,2022-04-02T06:02:55.000Z
ccstephaniek,@mancoco113,0,2022-04-02T05:49:34.000Z
nancy4.24,@style3018505,1 ,2022-04-02T05:42:19.000Z
dcy__11,@breathtakinginfp,0,2022-04-02T05:47:40.000Z
liou_0824,@yun.syuan45,0,2022-04-02T05:52:46.000Z
ruby._.528,@beauty_0710,0,2022-04-02T05:34:43.000Z
upei817,@aimeefish0612,1 ,2022-04-02T05:30:29.000Z
ken50318,@nikki__jiang,0,2022-04-02T05:31:08.000Z
green_tea_huang,@timmy00328,0,2022-04-02T06:02:46.000Z
sisyyu____,@jjk_hippo,0,2022-04-02T06:13:47.000Z
gennie_0245,@dorahuang0814,0,2022-04-02T05:56:14.000Z
waynechiang1030,@hippo_juan 再複習一次,1 ,2022-04-02T05:57:02.000Z
_____whee______,@stanley__322,0,2022-04-02T05:38:28.000Z
oorn.ka,@_yellowhippo 學起來了嗎,1 ,2022-04-02T05:50:31.000Z
eason1008,@t___h___s,0,2022-04-02T06:01:56.000Z
yi_jyun0519,@stooges_000583,0,2022-04-02T05:32:05.000Z
tiny_0506,@yingqi_0723,0,2022-04-02T05:56:21.000Z
0518_bella_,@yw.310,0,2022-04-02T05:53:35.000Z
sharonkuo50924,@martinmarvinchen,0,2022-04-02T05:36:28.000Z
julia60327,@tengtiantiann,0,2022-04-02T06:05:33.000Z
ann._nn,@xiaofan0702,0,2022-04-02T05:35:20.000Z
huang_85,@as88168816,0,2022-04-02T05:32:06.000Z
0yhhhhh,@__hsu1.6,1 ,2022-04-02T06:21:22.000Z
ya_wen_1105,@all_pass_warrior,0,2022-04-02T05:33:58.000Z
bi_lty,@ckss886 懂不,0,2022-04-02T05:31:20.000Z
liang31413,@8912_02,0,2022-04-02T06:14:19.000Z
yue_lin_315,@rainsoundpupu,0,2022-04-02T05:51:31.000Z
law_tszman,@bogummy_cc,0,2022-04-02T06:19:07.000Z
qwertpuah,@hzabxoxo,0,2022-04-02T06:14:20.000Z
s.xx_14_,@hyh__160,0,2022-04-02T05:37:25.000Z
