id,comment,like,timestamp
a.reaal_,不爽不要買May song my may,1919 ,2022-04-26T08:02:19.000Z
bnb0933933,天線寶寶：WI-FI BABY,1102 ,2022-04-26T08:06:22.000Z
skull_henzy,不客氣：no Q,758 ,2022-04-26T08:02:26.000Z
doctormeme_tw,新台灣防疫模式：Shit,600 ,2022-04-26T08:03:31.000Z
cyw__1102,日本和牛 Japan and cow,1325 ,2022-04-26T08:06:36.000Z
xiaonuo0527,呼巴掌 San tree pay,522 ,2022-04-26T08:05:02.000Z
jellyjelly_tae,皇上息怒：Emperor Rest In Peace,595 ,2022-04-26T08:03:02.000Z
anan2245,不入虎穴焉得虎子：blue who say and whose,472 ,2022-04-26T08:12:08.000Z
chiao__1999,爽：Song,286 ,2022-04-26T08:12:41.000Z
mrchengary,難上加難 Gay plus Gay,452 ,2022-04-26T08:03:04.000Z
likeplaylife,How old are you? 怎麼老是你?,390 ,2022-04-26T08:06:48.000Z
a.reaal_,我要吃肉Woof woof,182 ,2022-04-26T08:02:34.000Z
wildworldkid,伍佰：R1、R2、R1、2、3GO,236 ,2022-04-26T08:03:14.000Z
starmoon1010,永不給上 Never give up,190 ,2022-04-26T08:04:14.000Z
rodriguez.magic,Do you understand？ 你下面站起來了嗎,223 ,2022-04-26T08:06:20.000Z
niiiiicole___i,排骨便當 by good bang dong,392 ,2022-04-26T08:02:53.000Z
wei_minnnn,大學生 = big student,175 ,2022-04-26T08:14:25.000Z
reignweui,好好吃good good eat,120 ,2022-04-26T08:02:40.000Z
wei_2003_0325,九天玄女：Nine sky spin girl,68 ,2022-04-26T08:09:19.000Z
luwill_1205,@jafar_0329 佛跳牆 god vpn,105 ,2022-04-26T08:14:27.000Z
bbbbcs196,@princeliao @lele.1212 @serena.1229,6 ,2022-04-26T08:05:49.000Z
wangz._.0118,@y92_08_13 不戰而歸：no fight go back,14 ,2022-04-26T08:13:18.000Z
chiao__1999,@yi______fang 潛水艇：submarine......,7 ,2022-04-26T08:13:37.000Z
briansu.810,@leo__0701,1 ,2022-04-26T08:08:21.000Z
imchestnut,@jen156056 you can roll,0,2022-04-26T08:03:31.000Z
wang_elephant,@m507tw,1 ,2022-04-26T08:08:53.000Z
zym__0507,@tptp5443 😂,0,2022-04-26T08:11:00.000Z
jun_3111,@yunz_zzz  three three come late,1 ,2022-04-26T08:26:34.000Z
meimei_117,@kamilly_ip 口水多過茶 mouth water more than tea,4 ,2022-04-26T08:23:15.000Z
pepbida__,@stnhbu ==,1 ,2022-04-26T08:33:59.000Z
yunqian_77,@trye31,1 ,2022-04-26T08:10:44.000Z
19961224_j,@chenp1ng,2 ,2022-04-26T08:10:43.000Z
a866662,Never give up : 從不給上,79 ,2022-04-26T08:02:40.000Z
john40316,@hellohellomotomoto @ashih123 @rickwang0514 多練練英文,1 ,2022-04-26T08:06:44.000Z
145_cm,@giant529625  賞巴掌 sent tree pay,10 ,2022-04-26T08:05:25.000Z
renji_0527,@tust000000 笑死 最後一個,2 ,2022-04-26T08:03:19.000Z
cheek46825,@ann_chang96 😂,1 ,2022-04-26T08:37:41.000Z
cena.c_,@chrischouu 好好學英文啊,2 ,2022-04-26T08:03:27.000Z
chenyi0925,@chang_cheng_lin,2 ,2022-04-26T08:10:47.000Z
pao_lyta_b,@_5477__,1 ,2022-04-26T08:03:43.000Z
