id,comment,like,timestamp
ool23,我們都需要勇氣，去面對六眼飛魚🐟,525 ,2022-04-18T06:50:26.000Z
g801206,你那麼愛她為什麼不巴她6下,531 ,2022-04-18T06:59:55.000Z
a.reaal_,我能想到最浪漫的事 就是和你一起賣賣電腦🎵,333 ,2022-04-18T06:50:28.000Z
nixon.li,張韶涵的名字我都唸張韶涵,281 ,2022-04-18T07:00:33.000Z
nick.0530_,到底大潤發在哪裡,247 ,2022-04-18T06:49:22.000Z
iamruoyu,可是我，有時候，寧願選擇榴槤不放手🫳,238 ,2022-04-18T06:59:11.000Z
rita_ctw,夜長夢還多 你就不要想騎我,159 ,2022-04-18T06:59:19.000Z
cat__yilin,所以是粗的好吃還是不粗的好吃,87 ,2022-04-18T06:56:49.000Z
gabisdk,誰表演會被人忽略？  答案：gabi. Gabi和你演出的我，妳視而不見..(薛之謙）,68 ,2022-04-18T06:54:39.000Z
kent_chuo888,@jyunhan0116 @gn01353892,0,2022-04-18T06:54:47.000Z
andynandrew,@smartjanice25 @jsamare01 主題曲,1 ,2022-04-18T06:53:48.000Z
lschen91,@smallshun @huangenyun,2 ,2022-04-18T06:53:30.000Z
1313twinklestars,@tingshuai__ @cjia0421,1 ,2022-04-18T07:13:46.000Z
m15699,@kid.82101 @ktv7890  唱歌啦～,0,2022-04-18T07:02:45.000Z
yyj1019__,@kuoyaling @wade.9788 哈哈哈哈哈哈,1 ,2022-04-18T07:01:32.000Z
kst__025,@habe0828  @haohaojj @cheng_yang_26,0,2022-04-18T06:53:32.000Z
lai____9,@dj28300,1 ,2022-04-18T06:57:57.000Z
wei_yin_,@chrisbobonew____,1 ,2022-04-18T07:00:15.000Z
peiooo_hi,@mball_0321,2 ,2022-04-18T06:57:04.000Z
always.funnn____,@77in___,1 ,2022-04-18T07:07:04.000Z
